realx,realy
1,-0.10980218
2,-0.11181927
3,-0.11412247
4,-0.11605708
5,-0.115967214
6,-0.112093635
7,-0.10555243
8,-0.09789453
9,-0.08997384
10,-0.0836615
11,-0.07793072
12,-0.074678876
13,-0.07214174
14,-0.07119166
15,-0.071057126
16,-0.071910225
17,-0.07284466
18,-0.07403704
19,-0.07399602
20,-0.07395515
21,-0.074409075
22,-0.07638366
23,-0.07899641
24,-0.08214425
25,-0.08524701
26,-0.08663462
27,-0.08617421
28,-0.087053545
29,-0.08800597
30,-0.093111105
31,-0.09905312
32,-0.10525544
33,-0.11089265
34,-0.11512619
35,-0.11775516
36,-0.12237349
37,-0.12500994
38,-0.12598148
39,-0.12695387
40,-0.12844345
41,-0.13157238
42,-0.13670498
43,-0.14280921
44,-0.15193972
45,-0.15949233
46,-0.16516332
47,-0.16918102
48,-0.16998619
49,-0.16808161
50,-0.16594157
51,-0.16209146
52,-0.1581247
53,-0.15208957
54,-0.14535634
55,-0.136032
56,-0.12597817
57,-0.11463985
58,-0.103238024
59,-0.09171021
60,-0.08255493
61,-0.07504134
62,-0.0701829
63,-0.06690599
64,-0.065986596
65,-0.06563051
66,-0.06648721
67,-0.06890032
68,-0.07401754
69,-0.07912861
70,-0.08286223
71,-0.08681646
72,-0.08987393
73,-0.092271835
74,-0.09404
75,-0.09462429
76,-0.093509756
77,-0.09063514
78,-0.08722111
79,-0.08326241
80,-0.078471795
81,-0.073836535
82,-0.06831347
83,-0.06349753
84,-0.061592903
85,-0.060280617
86,-0.059990853
87,-0.059203174
88,-0.05946506
89,-0.059612524
90,-0.05711018
91,-0.055074114
92,-0.052977238
93,-0.0565796
94,-0.06481179
95,-0.07819242
96,-0.093769245
97,-0.1118976
98,-0.12839165
99,-0.14506058
100,-0.15462777
101,-0.15913762
102,-0.15795414
103,-0.1538259
104,-0.14848688
105,-0.14554428
106,-0.14256795
107,-0.1394033
108,-0.13750277
109,-0.13717002
110,-0.13685367
111,-0.13693906
112,-0.13601531
113,-0.1367144
114,-0.13548368
115,-0.13158351
116,-0.12322826
117,-0.11116557
118,-0.09673359
119,-0.083904326
120,-0.07239891
121,-0.06424636
122,-0.05945792
123,-0.057540406
124,-0.05672935
125,-0.05707287
126,-0.056982074
127,-0.05556359
128,-0.05665734
129,-0.058005974
130,-0.06297086
131,-0.07192754
132,-0.0828625
133,-0.09579407
134,-0.10804273
135,-0.11906958
136,-0.12804992
137,-0.13477105
138,-0.14030333
139,-0.14479749
140,-0.14638452
141,-0.14425112
142,-0.13990527
143,-0.13305925
144,-0.120528206
145,-0.10778689
146,-0.09364407
147,-0.08323259
148,-0.07630735
149,-0.07370869
150,-0.0731085
151,-0.07424152
152,-0.07443844
153,-0.076017894
154,-0.07624669
155,-0.07745018
156,-0.075047016
157,-0.072417356
158,-0.06729277
159,-0.06326978
160,-0.056796752
161,-0.053796556
162,-0.05094022
163,-0.05025667
164,-0.04629269
165,-0.044601128
166,-0.04198343
167,-0.039609473
168,-0.035609905
169,-0.03161757
170,-0.028309466
171,-0.024454542
172,-0.023855854
173,-0.023441246
174,-0.02370463
175,-0.02438876
176,-0.026046613
177,-0.028686894
178,-0.031769183
179,-0.034599934
180,-0.036759418
181,-0.041430183
182,-0.05255535
183,-0.077502646
184,-0.12922883
185,-0.21692489
186,-0.33245432
187,-0.5040879
188,-0.72108024
189,-0.9636942
190,-1.2681991
191,-1.6102699
192,-1.956463
193,-2.3538375
194,-2.7418728
195,-3.1765394
196,-3.6291137
197,-4.093051
198,-4.5664864
199,-5.017691
200,-5.50835
201,-6.005149
202,-6.464722
203,-6.9744315
204,-7.47627
205,-7.943293
206,-8.442596
207,-8.922955
208,-9.433896
209,-9.95401
210,-10.429365
211,-10.949743
212,-11.464817
213,-11.942917
214,-12.459429
215,-12.969583
216,-13.481461
217,-13.995325
218,-14.476807
219,-14.999154
220,-15.529032
221,-16.013235
222,-16.535952
223,-17.061598
224,-17.541155
225,-18.054714
226,-18.563335
227,-19.039978
228,-19.550669
229,-20.028915
230,-20.539305
231,-21.048946
232,-21.51372
233,-22.016191
234,-22.521461
235,-22.987148
236,-23.500216
237,-23.968342
238,-24.480623
239,-24.988054
240,-25.460203
241,-25.969597
242,-26.483805
243,-26.95816
244,-27.473095
245,-27.991941
246,-28.50602
247,-28.982681
248,-29.491909
249,-29.999714
250,-30.505114
251,-30.974016
252,-31.479656
253,-31.98673
254,-32.463387
255,-32.975586
256,-33.455437
257,-33.965973
258,-34.48019
259,-34.947994
260,-35.46003
261,-35.96841
262,-36.44168
263,-36.952267
264,-37.465073
265,-37.945683
266,-38.470764
267,-38.94871
268,-39.469837
269,-39.993534
270,-40.519783
271,-41.01065
272,-41.542553
