simx,simy
1,1.0538323
2,1.0534891
3,1.0529895
4,1.0524911
5,1.0519724
6,1.0514432
7,1.0508604
8,1.0503327
9,1.04988
10,1.0494608
11,1.049243
12,1.0491257
13,1.0490518
14,1.0490463
15,1.0491167
16,1.0492026
17,1.0492992
18,1.0494856
19,1.0496198
20,1.0498387
21,1.0500956
22,1.0503846
23,1.0507506
24,1.0511724
25,1.0515419
26,1.0519832
27,1.0527141
28,1.0535814
29,1.0545037
30,1.055393
31,1.0560253
32,1.0564144
33,1.0567095
34,1.0569638
35,1.0570192
36,1.056904
37,1.0567566
38,1.0566278
39,1.0566429
40,1.0568591
41,1.0572375
42,1.057541
43,1.0578041
44,1.0580287
45,1.0582311
46,1.058469
47,1.058669
48,1.0588855
49,1.0590658
50,1.0595059
51,1.0602244
52,1.0610695
53,1.0619018
54,1.062578
55,1.0630335
56,1.063349
57,1.0634662
58,1.06355
59,1.0637743
60,1.0640047
61,1.0640986
62,1.0641464
63,1.0643418
64,1.064508
65,1.0647205
66,1.0650451
67,1.0653187
68,1.0655601
69,1.0656527
70,1.0653611
71,1.0648319
72,1.0641798
73,1.0634519
74,1.0628511
75,1.0622973
76,1.0616585
77,1.0608997
78,1.0599228
79,1.0588304
80,1.0576485
81,1.0563321
82,1.0550867
83,1.0538388
84,1.0527955
85,1.0519712
86,1.0515002
87,1.051167
88,1.0510359
89,1.0508116
90,1.0503203
91,1.0496051
92,1.0488727
93,1.0482613
94,1.0476875
95,1.0473075
96,1.0470737
97,1.0469614
98,1.0468878
99,1.046768
100,1.0466195
101,1.0466212
102,1.047014
103,1.0475068
104,1.048018
105,1.0487213
106,1.0494726
107,1.0506042
108,1.0518535
109,1.0530006
110,1.0541463
111,1.0553955
112,1.056638
113,1.0577552
114,1.0587368
115,1.0595601
116,1.0602719
117,1.0609488
118,1.0616367
119,1.0622529
120,1.0627137
121,1.0631238
122,1.0634648
123,1.0637563
124,1.0640088
125,1.0642453
126,1.0644611
127,1.0646815
128,1.0647391
