realx,realy
1,-0.041550465
2,-0.042665645
3,-0.043837953
4,-0.04488946
5,-0.046206072
6,-0.051334705
7,-0.06036088
8,-0.07560718
9,-0.09514357
10,-0.11370648
11,-0.13222182
12,-0.14785047
13,-0.16012327
14,-0.16576445
15,-0.16559438
16,-0.16117066
17,-0.15540259
18,-0.14820917
19,-0.13948025
20,-0.13275197
21,-0.12698506
22,-0.12431098
23,-0.124451056
24,-0.12301625
25,-0.12047264
26,-0.11536316
27,-0.10585895
28,-0.092451334
29,-0.074498266
30,-0.05527351
31,-0.039462686
32,-0.022825884
33,-0.008914031
34,0.0032765986
35,0.012964677
36,0.024059474
37,0.03286535
38,0.04087323
39,0.04420962
40,0.046315584
41,0.043463945
42,0.038421538
43,0.029377842
44,0.017850867
45,0.005388017
46,-0.0024196838
47,-0.008688631
48,-0.01090329
49,-0.013027241
50,-0.013206061
51,-0.013963845
52,-0.013293819
53,-0.011326119
54,-0.006697967
55,-0.00023961089
56,0.00814482
57,0.016000979
58,0.022855746
59,0.027679473
60,0.030159187
61,0.029709766
62,0.027403712
63,0.02330762
64,0.017469393
65,0.010702843
66,0.002565472
67,-0.004771397
68,-0.013042363
69,-0.021712229
70,-0.02996257
71,-0.037910633
72,-0.04631739
73,-0.0558249
74,-0.06774971
75,-0.07799952
76,-0.085926525
77,-0.09251962
78,-0.09600943
79,-0.09578128
80,-0.092433095
81,-0.086544454
82,-0.07752016
83,-0.06912421
84,-0.064540066
85,-0.064506784
86,-0.06932528
87,-0.07653232
88,-0.08316135
89,-0.083260864
90,-0.07618393
91,-0.061782617
92,-0.042040765
93,-0.02531804
94,-0.009738365
95,-0.00028816104
96,0.004285772
97,0.0039999317
98,0.0012933803
99,-0.003554722
100,-0.0085817985
101,-0.014971411
102,-0.02138329
103,-0.02962993
104,-0.036655776
105,-0.04160756
106,-0.047055047
107,-0.05211609
108,-0.0567646
109,-0.061532807
110,-0.06401816
111,-0.06529023
112,-0.064650044
113,-0.06510043
114,-0.06476599
115,-0.064328164
116,-0.06406105
117,-0.0634432
118,-0.062170018
119,-0.060730603
120,-0.05966781
121,-0.058815412
122,-0.058331884
123,-0.058305744
124,-0.056677844
125,-0.054373186
126,-0.052416805
127,-0.050376244
128,-0.04986873
129,-0.050166707
130,-0.050822485
131,-0.052420594
132,-0.054714795
133,-0.05836062
134,-0.061789267
135,-0.06554088
136,-0.066988006
137,-0.06478425
138,-0.059299402
139,-0.051039927
140,-0.040404886
141,-0.028157122
142,-0.02012382
143,-0.017006084
144,-0.018792976
145,-0.023961717
146,-0.030875927
147,-0.038805317
148,-0.045975428
149,-0.05276036
150,-0.057854593
151,-0.061309192
152,-0.063933596
153,-0.06710662
154,-0.07076043
155,-0.0715109
156,-0.06782566
157,-0.062486436
158,-0.058159895
159,-0.054799266
160,-0.053196855
161,-0.05463432
162,-0.05872255
163,-0.06271529
164,-0.0646345
165,-0.064376965
166,-0.06351811
167,-0.059286997
168,-0.051930994
169,-0.044608217
170,-0.038190797
171,-0.031169446
172,-0.025315773
173,-0.01823541
174,-0.012535935
175,-0.011205701
176,-0.0145962555
177,-0.019376269
178,-0.023116067
179,-0.025976565
180,-0.025163703
181,-0.023403266
182,-0.021754976
183,-0.020050572
184,-0.0230645
185,-0.033884216
186,-0.052993055
187,-0.08232815
188,-0.117105536
189,-0.15199642
190,-0.18905994
191,-0.22107048
192,-0.23810418
193,-0.24194813
194,-0.22772579
195,-0.19566193
196,-0.1479971
197,-0.09268026
198,-0.028818503
199,0.030560106
200,0.09575308
201,0.14890553
202,0.194118
203,0.23653154
204,0.27838674
205,0.31990677
206,0.3682948
207,0.41499102
208,0.46716568
209,0.5157923
210,0.5576866
211,0.60247546
212,0.6472444
213,0.68834937
214,0.7311581
215,0.77124655
216,0.80976784
217,0.8525441
218,0.8951926
219,0.94377005
220,0.9984435
221,1.0501913
222,1.1061622
223,1.1614779
224,1.2098931
225,1.2614167
226,1.3081282
227,1.3502808
228,1.395549
229,1.4376944
230,1.4775974
231,1.51473
232,1.546845
233,1.5804274
234,1.6142054
235,1.647546
236,1.6847982
237,1.718404
238,1.7531663
239,1.7831444
240,1.807142
241,1.8304412
242,1.8578805
243,1.8879076
244,1.9262512
245,1.9639528
246,1.9978561
247,2.0239258
248,2.0500784
249,2.0763562
250,2.1015158
251,2.127129
252,2.155562
253,2.1889353
254,2.2251089
255,2.2676754
256,2.3045328
257,2.342722
258,2.3775558
259,2.4059858
260,2.433081
261,2.4606645
262,2.4810185
263,2.5041964
264,2.5338123
265,2.5628135
266,2.6029572
267,2.6402774
268,2.6879056
269,2.7364318
270,2.7901502
271,2.8393195
272,2.8907692
273,2.9351568
274,2.9810755
275,3.0192003
276,3.0567777
277,3.089455
278,3.1241868
279,3.1625032
280,3.2000427
281,3.2363336
282,3.2726161
283,3.3106172
284,3.3510602
285,3.3892245
286,3.4310186
287,3.4699292
288,3.514465
289,3.5538905
290,3.584938
291,3.6157224
292,3.6424315
293,3.6626015
294,3.6834612
295,3.7054787
296,3.7289548
297,3.7563326
298,3.7880597
299,3.8284292
300,3.8691428
301,3.9150946
302,3.960811
303,4.008734
304,4.0531416
305,4.1050596
306,4.156111
307,4.211014
308,4.2550507
309,4.307635
310,4.353077
311,4.4004574
312,4.444242
313,4.4916286
314,4.533051
315,4.58392
316,4.621491
317,4.664847
318,4.6970615
319,4.7304554
320,4.7580667
321,4.7915654
322,4.8175836
323,4.8504157
324,4.880427
325,4.915555
326,4.943496
327,4.980132
328,5.015254
329,5.051875
330,5.0848475
331,5.1174517
332,5.1430507
333,5.1704664
334,5.1958237
335,5.221891
336,5.2439
337,5.26782
338,5.2924066
339,5.3208256
340,5.353628
341,5.391134
342,5.423695
343,5.4615283
344,5.501626
345,5.53906
346,5.579082
347,5.6173124
348,5.654073
349,5.68709
350,5.7222595
351,5.75543
352,5.7828584
353,5.8101583
354,5.8351483
355,5.858616
356,5.8779745
357,5.9000525
358,5.923197
359,5.9493365
360,5.980168
361,6.0121927
362,6.049266
363,6.087335
364,6.1214542
365,6.15244
366,6.1847105
367,6.217676
368,6.248452
369,6.28571
370,6.3188705
371,6.3497586
372,6.3824754
373,6.4138584
374,6.4481683
375,6.4834075
376,6.513347
377,6.5491085
378,6.5824833
379,6.6144648
380,6.6451874
381,6.678007
382,6.707212
383,6.7426624
384,6.7769785
385,6.8103166
386,6.8402095
387,6.8754444
388,6.904769
389,6.9382377
390,6.9680777
391,7.003013
392,7.035089
393,7.0685635
394,7.103166
395,7.1361547
396,7.1695285
397,7.2028956
398,7.2328725
399,7.2624764
400,7.293769
401,7.326204
402,7.358709
403,7.3953853
404,7.430609
405,7.4668493
406,7.499322
407,7.524094
408,7.5463376
409,7.572291
410,7.608361
411,7.666233
412,7.7537847
413,7.8850937
414,8.045517
415,8.265758
416,8.531868
417,8.824522
418,9.185479
419,9.591562
420,10.007248
421,10.480442
422,10.963998
423,11.475579
424,11.957252
425,12.478546
426,12.96406
427,13.481373
428,13.981349
429,14.497678
430,15.016448
431,15.539935
432,16.059656
433,16.544817
434,17.065735
435,17.59168
436,18.11384
437,18.600822
438,19.121763
439,19.640923
440,20.122711
441,20.636797
442,21.117962
443,21.632158
444,22.133396
445,22.650099
446,23.131191
447,23.64822
448,24.168327
449,24.644827
450,25.1625
451,25.665903
452,26.18854
453,26.672386
454,27.19893
455,27.713766
456,28.228733
457,28.759863
458,29.252203
459,29.777279
460,30.29972
461,30.776108
462,31.293768
463,31.797775
464,32.318966
465,32.80458
466,33.328148
467,33.85975
468,34.3446
469,34.87729
470,35.405136
471,35.92716
472,36.413918
473,36.938107
474,37.46631
475,37.948982
476,38.473545
477,38.99389
478,39.479885
479,40.01495
480,40.50116
481,41.02898
482,41.553978
483,42.06149
484,42.584534
485,43.06454
486,43.590122
487,44.111103
488,44.59371
489,45.11178
490,45.593727
491,46.110275
492,46.6351
493,47.114616
494,47.636703
495,48.161682
496,48.641174
497,49.16424
498,49.68936
499,50.18068
500,50.701885
501,51.206398
502,51.725964
503,52.247562
504,52.766792
505,53.24593
506,53.770866
507,54.28916
508,54.768833
509,55.285477
510,55.765347
511,56.281067
512,56.805107
513,57.28407
514,57.804653
515,58.33227
516,58.817345
517,59.34668
518,59.87217
519,60.377846
520,60.854393
521,61.370224
522,61.893578
523,62.375847
524,62.923805
525,63.44566
526,63.95621
527,64.43741
528,64.94524
529,65.464165
530,65.986534
531,66.46596
532,66.990585
533,67.51345
534,68.02098
535,68.5072
536,69.03375
537,69.565445
538,70.0526
539,70.582664
540,71.10638
541,71.63641
542,72.1199
543,72.64872
544,73.172386
545,73.66044
546,74.1707
547,74.69789
548,75.22519
549,75.70409
550,76.22628
551,76.746254
552,77.26668
553,77.74782
554,78.263885
555,78.78567
556,79.30522
557,79.79559
558,80.322136
559,80.852104
560,81.37556
561,81.85793
562,82.38412
563,82.908005
564,83.39608
565,83.927956
566,84.42558
567,84.95573
568,85.48467
569,86.0055
570,86.48986
571,87.01042
572,87.53821
573,88.02597
574,88.55513
575,89.08843
576,89.57682
577,90.11176
578,90.641266
579,91.15531
580,91.64366
581,92.17186
582,92.68363
583,93.20855
584,93.695915
585,94.21939
586,94.75032
587,95.23618
588,95.75958
589,96.283516
590,96.76561
591,97.270546
592,97.79386
593,98.302315
594,98.831924
595,99.32608
596,99.86129
597,100.39607
598,100.89239
599,101.42289
600,101.958305
601,102.445915
602,102.97606
603,103.49839
604,103.98026
605,104.48561
606,105.01115
607,105.53879
608,106.01885
609,106.54045
610,107.062035
611,107.542854
612,108.07011
613,108.59338
614,109.12425
615,109.608696
616,110.13391
617,110.65306
618,111.13002
619,111.640854
620,112.14748
621,112.61637
622,113.115105
623,113.578094
624,114.07675
625,114.58146
626,115.04455
627,115.5505
628,116.052734
629,116.51821
630,117.02736
631,117.53528
632,118.00787
633,118.51587
634,119.028206
635,119.49546
636,119.99889
637,120.48858
638,120.98533
639,121.46908
640,121.92945
641,122.45382
642,122.95759
643,123.42164
644,123.92784
645,124.42968
646,124.896614
647,125.39763
648,125.86268
649,126.36077
650,126.846245
651,127.34757
652,127.81558
653,128.31642
654,128.82205
655,129.28554
656,129.78833
657,130.29732
658,130.76324
659,131.27168
660,131.78008
661,132.29318
662,132.76721
663,133.27733
664,133.77542
665,134.29001
666,134.76999
667,135.28119
668,135.79993
669,136.27454
670,136.78952
671,137.30841
672,137.78517
673,138.30692
674,138.82521
675,139.31146
676,139.83383
677,140.3168
678,140.83568
679,141.35593
680,141.83867
681,142.35678
682,142.87703
683,143.35318
684,143.87483
685,144.39934
686,144.88446
687,145.41776
688,145.94733
689,146.43939
690,146.96399
691,147.45657
692,147.97629
693,148.50043
694,148.98242
695,149.51491
696,150.0395
697,150.52348
698,151.05315
699,151.58151
700,152.09435
701,152.58409
702,153.0949
703,153.61836
704,154.1473
705,154.63428
706,155.16309
707,155.69635
708,156.18623
709,156.72055
710,157.25053
711,157.7656
712,158.24791
713,158.77307
714,159.29338
715,159.77664
716,160.29732
717,160.81917
718,161.32327
719,161.80461
720,162.33789
721,162.82292
722,163.35208
723,163.87746
724,164.36623
725,164.89023
726,165.41788
727,165.90036
728,166.42148
729,166.94385
730,167.46245
731,167.96268
732,168.4376
733,168.96019
734,169.48091
735,169.96758
736,170.48907
737,171.01602
738,171.49806
739,172.02136
740,172.4995
741,173.01985
742,173.54611
743,174.02803
744,174.57062
745,175.04887
746,175.56491
747,176.07631
748,176.58693
749,177.0622
750,177.57256
751,178.09012
752,178.60287
753,179.08281
754,179.6007
755,180.08226
756,180.59525
757,181.11139
758,181.59404
759,182.1121
760,182.6149
761,183.13145
762,183.63058
763,184.14717
764,184.62465
765,185.14546
766,185.65804
767,186.1359
768,186.65218
769,187.15233
770,187.66904
771,188.1466
772,188.66718
773,189.18547
774,189.66829
775,190.18704
776,190.70561
777,191.21988
778,191.69907
779,192.21588
780,192.73395
781,193.21661
782,193.7373
783,194.22357
784,194.7487
785,195.2715
786,195.74701
787,196.2622
788,196.78345
789,197.25893
790,197.75859
791,198.27359
792,198.794
793,199.2721
794,199.7948
795,200.30692
796,200.77788
797,201.29205
798,201.80322
799,202.27727
800,202.78554
801,203.29192
802,203.78444
803,204.22484
804,204.68617
805,205.1159
806,205.51076
807,205.86674
808,206.2528
809,206.6049
810,206.91707
811,207.24078
812,207.54898
813,207.82187
814,208.10225
815,208.35896
816,208.59787
817,208.79977
818,208.95049
819,209.04433
820,209.10359
821,209.12697
822,209.12888
823,209.1193
824,209.10933
825,209.10626
826,209.11172
827,209.12756
828,209.14949
829,209.17537
830,209.19939
831,209.21498
832,209.22603
833,209.23022
834,209.23065
835,209.22856
836,209.22719
837,209.22392
838,209.22218
839,209.2183
840,209.21426
841,209.20856
842,209.20493
843,209.1997
844,209.19197
845,209.17308
846,209.13976
847,209.07617
848,208.9829
849,208.84483
850,208.66716
851,208.4393
852,208.17415
853,207.88237
854,207.53021
855,207.13774
856,206.7121
857,206.29486
858,205.82816
859,205.3452
860,204.89224
861,204.39287
862,203.88887
863,203.42288
864,202.91324
865,202.40495
866,201.90083
867,201.42374
868,200.90092
869,200.38211
870,199.85854
871,199.33972
872,198.85715
873,198.3404
874,197.82486
875,197.34407
876,196.82571
877,196.3222
878,195.80217
879,195.31721
880,194.79617
881,194.27202
882,193.7928
883,193.27762
884,192.76097
885,192.24823
886,191.73161
887,191.21765
888,190.71967
889,190.20181
890,189.72237
891,189.19714
892,188.67387
893,188.14867
894,187.66968
895,187.1451
896,186.62738
897,186.1057
898,185.6308
899,185.11594
900,184.5996
901,184.08765
902,183.59247
903,183.12273
904,182.6081
905,182.0933
906,181.61559
