x,y
1,1.6496487
2,1.6496266
3,1.6494651
4,1.649345
5,1.6492845
6,1.6492448
7,1.6492201
8,1.6490983
9,1.6488367
10,1.6486081
11,1.6483337
12,1.6479713
13,1.647567
14,1.6472592
15,1.6469878
16,1.6467533
17,1.6465719
18,1.6463655
19,1.6462728
20,1.6462693
21,1.6463817
22,1.6465201
23,1.6465254
24,1.6464059
25,1.6462376
26,1.6458758
27,1.6450404
28,1.6437707
29,1.642453
30,1.6412007
31,1.6403557
32,1.6396906
33,1.6391437
34,1.638569
35,1.6380419
36,1.6376188
37,1.6375076
38,1.6373537
39,1.6370525
40,1.636644
41,1.6359944
42,1.6353678
43,1.6346737
44,1.6339489
45,1.6331861
46,1.6323755
47,1.6312841
48,1.6301745
49,1.6289699
50,1.627709
51,1.6265718
52,1.6255213
53,1.6246405
54,1.6239994
55,1.6237259
56,1.6235793
57,1.6232976
58,1.6230459
59,1.6227386
60,1.6222925
61,1.6219585
62,1.6217788
63,1.6218024
64,1.6223804
65,1.6233525
66,1.6245471
67,1.6260098
68,1.6276652
69,1.6293397
70,1.6311301
71,1.6330276
72,1.6349545
73,1.6369135
74,1.6386224
75,1.6404567
76,1.6422287
77,1.6436785
78,1.6449112
79,1.6460328
80,1.6469357
81,1.6481369
82,1.649298
83,1.6504306
84,1.6512398
85,1.6518133
86,1.652138
87,1.6523964
88,1.6525
89,1.6523579
90,1.6521982
91,1.651949
92,1.6517122
93,1.6514755
94,1.6513493
95,1.6512269
96,1.651151
97,1.651122
98,1.6510249
99,1.6509902
100,1.6510576
101,1.6512556
102,1.6516418
103,1.6519603
104,1.6522312
105,1.6523694
106,1.6523464
107,1.6520878
108,1.6514689
109,1.6508569
110,1.6501915
111,1.6492587
112,1.6481135
113,1.6468972
114,1.6456753
115,1.6445507
116,1.6435108
117,1.6426333
118,1.6417598
119,1.6410156
120,1.6403124
121,1.6396642
122,1.639101
123,1.6387167
124,1.6385522
125,1.6385249
126,1.6385479
127,1.6386409
128,1.6386437
129,1.6386648
130,1.6387291
131,1.6387963
132,1.6387922
133,1.6387914
134,1.6388649
135,1.6388506
136,1.6388286
137,1.6387799
138,1.6387383
139,1.638729
140,1.6390666
141,1.6398313
142,1.6408767
143,1.6421591
144,1.6433952
145,1.6447431
146,1.6460109
147,1.6477488
148,1.6494839
149,1.6511045
150,1.6526153
151,1.6541506
152,1.6555306
153,1.6567336
154,1.6578277
155,1.6587479
156,1.6595594
157,1.6601787
158,1.6605353
159,1.6607947
160,1.6608053
161,1.6606321
162,1.6605557
163,1.6604817
164,1.6605576
165,1.6607178
166,1.6609943
167,1.6611596
168,1.6612066
169,1.6610625
170,1.6606978
171,1.6602111
172,1.6594808
173,1.6583853
174,1.6572748
175,1.6561674
176,1.6548561
177,1.6534113
178,1.6517087
179,1.649587
180,1.6474235
181,1.6454641
182,1.643277
183,1.6412735
184,1.6392088
185,1.6372336
186,1.6355462
187,1.6335802
188,1.6317366
189,1.6299938
190,1.628574
191,1.6275507
192,1.626902
193,1.6264731
194,1.6262277
195,1.6259079
196,1.6256227
197,1.6253498
198,1.6251016
199,1.6252177
200,1.625768
201,1.6267873
202,1.6281034
203,1.6297109
204,1.6312166
205,1.6326202
206,1.634207
207,1.6360627
208,1.6380589
209,1.6398878
210,1.6417235
211,1.6436714
212,1.6457111
213,1.6476665
214,1.6494956
215,1.6511947
216,1.6530033
217,1.6548465
218,1.6564425
219,1.6581466
220,1.6597905
221,1.6612229
222,1.6624333
223,1.6634198
224,1.6643646
225,1.6654084
226,1.6664329
227,1.6674047
228,1.6682225
229,1.6686902
230,1.6687714
231,1.6687783
232,1.6684757
233,1.6681675
234,1.6676708
235,1.6668366
236,1.6661422
237,1.6652869
238,1.6641147
239,1.6628954
240,1.6617167
241,1.6604352
242,1.6591897
243,1.65755
244,1.6558115
245,1.6538066
246,1.6520073
247,1.6500406
248,1.6478294
249,1.6455748
250,1.6435586
251,1.6416214
252,1.6396512
253,1.6377859
254,1.6360514
255,1.6346211
256,1.633652
257,1.6329459
258,1.632142
259,1.6313996
260,1.6307949
261,1.6305039
262,1.6304448
263,1.6304334
264,1.630393
265,1.6304613
266,1.6306441
267,1.630976
268,1.6315414
269,1.6320409
270,1.6325583
271,1.632912
272,1.6329768
273,1.6330414
274,1.632993
275,1.6327466
276,1.632382
277,1.6319085
278,1.6309576
279,1.6297915
280,1.6281645
281,1.6255082
282,1.6216109
283,1.6160506
284,1.6090817
285,1.6012342
286,1.5908197
287,1.5795618
288,1.5653133
289,1.5498387
290,1.5307722
291,1.5127219
292,1.4899205
293,1.4641296
294,1.4362944
295,1.4061868
296,1.3740706
297,1.3366046
298,1.2935588
299,1.2478037
300,1.1957585
301,1.141764
